Address,Network,Score,# Reentrancy-benign,# reentrancy-event,# Exploit x,pragma ,
0x52cf099d7c891951eace3e99abc580bda26912fc,bsc,80,,,,,1
0x005D1123878Fc55fbd56b54C73963b234a64af3c,eth,79,,,,,1
0xc50ef449171a51fbeafd7c562b064b6471c36caa,eth,80,,,,,1
0x8c11c352731fcec7ea9d16357b69d91c13743dd1,bsc,80,,,,,1
0x557dd6700e66818af340cce17fd4508ced81fbc1,bsc,80,,,,,1
0x280ebb7c9f2c90ac6dd136516598a2f9efe70507,bsc,84,,,,,1
0x6a4c76874e686a7d080d173987a35a9c48905583,eth,90,3,1,,0,1
0xd68cb7a643079311b8645ed90f2d5267cfa6ea26,eth,78,,,,,1
0x2c8368f8f474ed9af49b87eac77061beb986c2f1,bsc,80,,,,,2
0xf7722aA0714096f1FB5ef83e6041CEBB4d58a08e,bsc,80,,,,,1
0x2c8368f8f474ed9af49b87eac77061beb986c2f1,bsc,80,,,,,1
0xd9de2b1973e57dc9dba90c35d6cd940ae4a3cbe1,bsc,89,,,,,1
0x9d4451151a8de5b545a1bc6c8fdeb9d94a2868e1,bsc,83,,,,,1
0xfebe8c1ed424dbf688551d4e2267e7a53698f0aa,bsc,80,,,,,1
0xb8a5e028f833f08a29564ded368b4cacb4e18ff5,bsc,77,,,,,1
0xef3725d9e4b9d758483c86be917ab7321dc2830c,bsc,81,,,,,1
0x0bcbc5c3506fc10c30daf6fad17866e504ceea33,bsc,80,,,,,1
0xC0A696BBb66352E5b88624F1d1B8909C34Dc4E4a,bsc,78,,,,,1
0x84f4f7cdb4574c9556a494dab18ffc1d1d22316c,bsc,76,,,,,2
0xa7002FCCC20F10a38c579A8D2D14D34F2A9a02A5,bsc,78,,,,,2
0x044727e50ff30db57fad06ff4f5846eab5ea52a2,bsc,80,,,,,1
0x728829B74577831F47953BCDBC8dfca27141c56e,bsc,80,,,,,1
0x2aaa5cb023cf458e7dfa765fd48b64cd95995ab7,bsc,80,,,,,1
0xffdc00285dde1f5b5c65c6a963357b4c55d8f601,bsc,75,,,,,1
0x7eaee60040135f20f508a393ca400ded339d654e,bsc,71,,,,,1
0xda6802bbec06ab447a68294a63de47ed4506acaa,bsc,80,,,,,1
0xaf7bfa6240745fd41d1ed4b5fade9dcaf369ba6c,bsc,76,,,,,1
0x64619f611248256F7F4b72fE83872F89d5d60d64,bsc,80,,,,,1
0x005D1123878Fc55fbd56b54C73963b234a64af3c,eth,79,,,,,2
0x9eeb6c5ff183e6001c65a12d70026b900ae76781,bsc,80,,,,,1
0xe580074A10360404AF3ABfe2d524D5806D993ea3,eth,80,,,,,1
0xdfe6891ce8e5a5c7cf54ffde406a6c2c54145f71,bsc,80,,,,,1
0x4a5eb6574fe68c55362fc73b9ea76953d837985b,bsc,78,,,,,1
0xa7002FCCC20F10a38c579A8D2D14D34F2A9a02A5,bsc,78,,,,,1
0x23125108bc4c63E4677b2E253Fa498cCb4B3298b,bsc,80,,,,,1
0xfe351e7718568050ea885798f3e82fa891cef78b,bsc,80,,,,,1
0xf6a22b0593df74f218027a2d8b7953c9b4542aa1,bsc,80,,,,,1
0x84f4f7cdb4574c9556a494dab18ffc1d1d22316c,bsc,76,,,,,1
0x30ea7c369b87fe261de28a1eefafe806696a738b,bsc,78,,,,,1
0x156df0dd6300C73ac692D805720967cf4464776e,bsc,86,,,,,1
