Address,Score,abiencoderv2-array,array-by-reference,incorrect-shift,multiple-constructors,name-reused,public-mappings-nested,rtlo,shadowing-state,suicidal,uninitialized-state,uninitialized-storage,unprotected-upgrade,arbitrary-send,controlled-array-length,controlled-delegatecall,delegatecall-loop,msg-value-loop,reentrancy-eth,storage-array,unchecked-transfer,weak-prng,enum-conversion,erc20-interface,erc721-interface,incorrect-equality,locked-ether,mapping-deletion,shadowing-abstract,tautology,write-after-write,boolean-cst,constant-function-asm,constant-function-state,divide-before-multiply,reentrancy-no-eth,reused-constructor,tx-origin,unchecked-lowlevel,unchecked-send,uninitialized-local,unused-return,incorrect-modifier,shadowing-builtin,shadowing-local,uninitialized-fptr-cst,variable-scope,void-cst,calls-loop,events-access,events-maths,incorrect-unary,missing-zero-check,reentrancy-benign,reentrancy-events,timestamp,assembly,assert-state-change,boolean-equal,deprecated-standards,erc20-indexed,function-init-state,low-level-calls,missing-inheritance,naming-convention,pragma,redundant-statements,solc-version,unimplemented-functions,unused-state,costly-loop,dead-code,reentrancy-unlimited-gas,similar-names,too-many-digits,constable-states,external-function,arbitrary-send-erc20,arbitrary-send-erc20-permit
0x52cf099d7c891951eace3e99abc580bda26912fc,80,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,2,,,,,,1,2,8,,,,,,,,4,,11,,,5,,,,,,,2,,1,,
0x005D1123878Fc55fbd56b54C73963b234a64af3c,79,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,1,,,,,6,1,,1,,,,1,,,1,,,,,,6,,3,1,4,2,,,,,,,1,,18,,1,2,,1,,11,,1,1,1,14,,
0xc50ef449171a51fbeafd7c562b064b6471c36caa,80,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,2,2,,,,,,,4,,,10,,,1,,3,,,2,9,7,3,20,,
0x8c11c352731fcec7ea9d16357b69d91c13743dd1,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,1,,,,1,,,,4,,,
0x557dd6700e66818af340cce17fd4508ced81fbc1,80,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,3,,,3,3,1,2,,,,,3,2,,10,,1,,,,1,10,,43,3,5,24,,
0x280ebb7c9f2c90ac6dd136516598a2f9efe70507,84,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,3,4,,,2,,3,,1,,,,2,6,9,2,,,,,,3,2,,15,,1,2,,1,,7,,2,6,2,24,,
0x6a4c76874e686a7d080d173987a35a9c48905583,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6,,
0xd68cb7a643079311b8645ed90f2d5267cfa6ea26,78,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,2,,,2,,,,,,,,,3,2,1,,,,,,,,,5,,,1,,2,,,2,9,2,4,12,,
0x2c8368f8f474ed9af49b87eac77061beb986c2f1,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,2,,,,,1,2,,7,,1,,,,1,10,,42,1,,21,,
0xf7722aA0714096f1FB5ef83e6041CEBB4d58a08e,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,9,,,1,,5,,
